word,emoji,desc
resort, 🏖️, 求助；诉诸；胜地
van, 🚐, 运货车
luggage, 🧳, 行李
itinerary, 🗺️, 行程表；旅行路线；旅行计划
subway, 🚇, 地铁
departure, 🛫, 离开；出发
passport, 🛂, 护照；途径；手段
cruise, 🚢, 航游，巡航；旅游
aviation, ✈️, 航空
shuttle, 🚌, 航天飞机
detour, ↪️, 弯路；便道；绕道
landscape, 🏞️, 风景
tram, 🚃, 有轨电车；电车轨道
evacuate, 🏃, 疏散；撤离
campfire, 🔥, 营火
transfer, 🔄, 搬，转移；转车
souvenir, 🎁, 纪念品，纪念物
destination, 📍, 目的地；终点；目标
suitcase, 🧳, 手提箱；衣箱
snack, 🥨, 快餐；小吃；点心
goggles, 🤿, 护镜；风镜；游泳镜
barge, 🚢, 驳船；猛撞
coach, 🚌, 教练；指导；长途汽车
trek, 🥾, 牛拉车；艰苦跋涉
express, 🚄, 特快的；快车；快递
explorer, 🧭, 勘探者；探险者
uphill, 📈, 向上，往上；艰难地
diversion, 🔀, 转向；转移；娱乐
carousel, 🎠, 行李式传送带
parcel, 📦, 包裹
distance, 📏, 距离；远方
transport, 🚚, 运输；运输系统
pedal, 🚲, 骑车；踩踏板；踏板
overseas, 🌊, 在海外的
settlement, 🏠, 定居；安家；解决
at random, 🎲, 随便地；任意地
roam, 🚶, 随便走；漫游
bistro, 🍷, 小酒馆；小餐馆
terminal, 🏢, 终点；终端；航站楼
vacation, 🏖️, 假期；休假
track, 🛤️, 小路；跑道；跟踪
camper, 🏕️, 露营者；宿营者
quiet, 🤫, 安静的
place, 🗺️, 地方
live, 📍, 居住
a lot of, 📦, 许多
many, 🔢, 许多
all kinds of, 🎁, 各种各样的
highway, 🛣️, 公路
transit, 🚢, 运输，运载；中转
voyage, 🚢, 旅行，航行，飞行
excursion, 🏃, 远足，短途旅游